row_index,image_uid,file_name,relative_path,file_hash,model
32,e8a4c080efc8422a8147bbf433bd554c,Port Lockroy 24th April 2020 JNH (28) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (28) (Large).jpg,5237ad0ddfbc3264bbb111c2df9ac449f1da7a6e08dd07600e5f96393b6a4292,openai/clip-vit-base-patch32
33,2c01621f943e4ffc9cd3878872b28ef0,Port Lockroy 24th April 2020 JNH (29) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (29) (Large).jpg,3e2aae51375dd7dcb28f249e41c764873eca172dcd07114db794247e5facf438,openai/clip-vit-base-patch32
34,48c8e65a85c041f48db9a9260f8f7fd1,Port Lockroy 24th April 2020 JNH (3) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (3) (Large).jpg,c1ccd8e05420c5bb752c25c5e29bed36ee39fd30bed77dd8b816cbccec04f63b,openai/clip-vit-base-patch32
35,e62bf61e69224413997efe395a3f8ca3,Port Lockroy 24th April 2020 JNH (30) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (30) (Large).jpg,5ae0bb54302e1314cefad4e82a21fd116495620b836fbf61bed901573c2cc383,openai/clip-vit-base-patch32
36,38eebcb1b63349dd93b7976f7587d1f7,Port Lockroy 24th April 2020 JNH (31) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (31) (Large).jpg,77903031014ac7abd3ebdf0e689d3938e7a75264a26600376927491c7af42fbd,openai/clip-vit-base-patch32
37,bc7bdf1f70704816ab5e4adcd8e8351e,Port Lockroy 24th April 2020 JNH (32) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (32) (Large).jpg,b97cfc0b563a9b322a74c19b0fb220c79506ef0955e6bd5bfd26d8eb5502d4fa,openai/clip-vit-base-patch32
38,efa7d2c553b643978ebfbdb1d04e4b06,Port Lockroy 24th April 2020 JNH (33) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (33) (Large).jpg,4797f88739cf383df6a675b5a0633cb6c149513ab9a5ebecf9636fc02da5bfac,openai/clip-vit-base-patch32
39,881eb4ef30ea4e91865e9ee079f8d3e8,Port Lockroy 24th April 2020 JNH (34) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (34) (Large).jpg,c3efd576f3ef3c8e5dd7060121fcedc8690ae66a0d1763ff1e39503d81ee1095,openai/clip-vit-base-patch32
40,1f4dd4388778447fa6f3ac2d843e1516,Port Lockroy 24th April 2020 JNH (36) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (36) (Large).jpg,bff376978f321b3671e8ab5868660aa8ccc5fa46df4cb66d65767218cbcf4507,openai/clip-vit-base-patch32
41,94890ba5ca9d41d3b0c353d0fe4b31cf,Port Lockroy 24th April 2020 JNH (37) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (37) (Large).jpg,8335342103eace8acb9af22076722d80023b3e9dfa22458c0e5c51d57902f10c,openai/clip-vit-base-patch32
42,dde38f0ae5c949fe995c64d63b3437a1,Port Lockroy 24th April 2020 JNH (39) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (39) (Large).jpg,083417f4a3cd8591b9eb616a8e0fd42e4aa442cb6c54fe208378015b7e0205a3,openai/clip-vit-base-patch32
43,b0eb77e43cdb4ccc96dd9c136f47e1b8,Port Lockroy 24th April 2020 JNH (4) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (4) (Large).jpg,f51280cdbb333ceefc903a2496f0bd5b4a64d55a25b60b4ec92c39b184f05688,openai/clip-vit-base-patch32
44,b2115b82ec784180889a256fe0e655db,Port Lockroy 24th April 2020 JNH (40) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (40) (Large).jpg,37601186315a8565cfaeb4397e4c888b467364dcd22885fdce2d86daef1dcf46,openai/clip-vit-base-patch32
45,80b5fdcfd2c044a2a12c91485107c6e1,Port Lockroy 24th April 2020 JNH (41) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (41) (Large).jpg,77e8fa7c983067161638f96be5bb8e1e093d758fd43ac6e9607a7fccdfb218cc,openai/clip-vit-base-patch32
46,b55e292179bf4ff0ad3b1cc9021ca729,Port Lockroy 24th April 2020 JNH (42) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (42) (Large).jpg,34d58367b173486573259c996ccd5087c7100302eca289c47345187bf38d7eaa,openai/clip-vit-base-patch32
47,f4736b6aa30e4b4e81c6137186d4596e,Port Lockroy 24th April 2020 JNH (43) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (43) (Large).jpg,2e473359c637542d85dfb236936c3b3dec6dc3f8c22a8e13dda94d48ed509eaf,openai/clip-vit-base-patch32
